,name,region,average_rating_standard,average_rating_rapid,average_rating_blitz,highest_rating_standard,highest_rating_rapid,highest_rating_blitz,total_players,total_players_standard,total_players_rapid,total_players_blitz,total_titles
0,Afghanistan,Asia,1678.7666666666667,1674.3939393939395,1701.090909090909,2192.0,2136.0,2192.0,95,90,33,44,11
1,Albania,Europe,1788.7860082304526,1831.0,1876.7972972972973,2527.0,2537.0,2486.0,262,243,77,74,23
2,Andorra,Europe,1784.7794117647059,1649.888888888889,1717.8363636363636,2494.0,2549.0,2500.0,77,68,54,55,10
3,Argentina,Americas,1742.414858898061,1759.6993288590604,1763.2428571428572,2630.0,2638.0,2672.0,5570,5209,1490,1610,286
4,Armenia,Asia,1715.3909090909092,2060.2272727272725,1948.704,2781.0,2778.0,2739.0,1222,1210,176,250,134
5,Australia,Oceania,1654.9130812690134,1627.414603960396,1665.5323886639676,2597.0,2562.0,2647.0,2641,2301,808,988,187
6,Austria,Europe,1846.5799894403378,1813.1460800902425,1816.059880239521,2680.0,2644.0,2581.0,4240,3788,1773,1670,254
7,Azerbaijan,Asia,1531.3762993762994,1550.9818731117825,1617.5822368421052,2770.0,2761.0,2757.0,2017,1924,662,608,160
8,Belarus,Europe,1733.1489726027398,1564.7625482625483,1615.710027100271,2648.0,2660.0,2662.0,1593,1168,1036,738,116
9,Belgium,Europe,1680.1851185118512,1701.6201298701299,1708.8215962441313,2577.0,2598.0,2610.0,3457,3333,924,852,113
10,Bolivia,Americas,1483.9659863945578,1468.3787128712872,1421.084985835694,2438.0,2464.0,2445.0,1326,1176,404,706,41
11,Bosnia And Herzegovina,Europe,1909.6041884816755,1777.6183261183262,1843.276349614396,2586.0,2658.0,2632.0,1803,955,1386,778,105
12,Brazil,Americas,1735.9556326456088,1665.709967845659,1714.5793370944994,2606.0,2628.0,2609.0,7683,5477,4665,2836,238
13,Brunei Darussalam,Asia,1714.4655172413793,1437.4698795180723,1497.5128205128206,2230.0,2249.0,2224.0,121,58,83,78,6
14,Burundi,Africa,1726.4166666666667,1890.0,1816.0,2217.0,1890.0,2102.0,13,12,1,3,1
15,Cabo Verde,Africa,1514.2666666666667,1576.0333333333333,1578.0,2463.0,2482.0,2388.0,52,45,30,30,6
