,Born,Died,Title Year,Population,Latitude,Longitude,Birthplace,region,name
0,1973,,2007,36670.0,55.88098000000001,12.501106,Hørsholm,,
1,1995,,2011,1116513.0,40.395278000000005,49.882222,Baku,,
74,1979,,2007,1116513.0,40.395278000000005,49.882222,Baku,,
147,1971,,1991,1116513.0,40.395278000000005,49.882222,Baku,,
220,2001,,2019,1116513.0,40.395278000000005,49.882222,Baku,,
293,1981,,2007,1116513.0,40.395278000000005,49.882222,Baku,,
366,1995,,2013,1116513.0,40.395278000000005,49.882222,Baku,,
439,1978,,2010,1116513.0,40.395278000000005,49.882222,Baku,,
512,1965,,2003,1116513.0,40.395278000000005,49.882222,Baku,,
585,1986,2014,2002,1116513.0,40.395278000000005,49.882222,Baku,,
658,1981,,2005,1116513.0,40.395278000000005,49.882222,Baku,,
731,1963,,1980,1116513.0,40.395278000000005,49.882222,Baku,,
804,1970,,2006,1116513.0,40.395278000000005,49.882222,Baku,,
877,1958,,1992,1116513.0,40.395278000000005,49.882222,Baku,,
950,1988,,2004,1116513.0,40.395278000000005,49.882222,Baku,,
1023,1994,,2015,1116513.0,40.395278000000005,49.882222,Baku,,
1096,1978,,2001,1116513.0,40.395278000000005,49.882222,Baku,,
1169,1987,,2001,1116513.0,40.395278000000005,49.882222,Baku,,
1242,1992,,2008,1116513.0,40.395278000000005,49.882222,Baku,,
1315,1977,,1996,1116513.0,40.395278000000005,49.882222,Baku,,
1388,1972,,2013,,39.8725,44.6544444,Shiraz,Africa,Algeria
1451,2004,,2018,1978078.0,41.3166667,69.25,Tashkent,,
1453,1986,,2008,1978078.0,41.3166667,69.25,Tashkent,,
1455,1988,,2004,1978078.0,41.3166667,69.25,Tashkent,,
1457,1962,,1992,1978078.0,41.3166667,69.25,Tashkent,,
1459,1983,,2003,1978078.0,41.3166667,69.25,Tashkent,,
1461,1979,,1997,1978078.0,41.3166667,69.25,Tashkent,,
1463,1949,,2003,1978078.0,41.3166667,69.25,Tashkent,,
1465,1981,,2010,1978078.0,41.3166667,69.25,Tashkent,,
1467,1986,,2004,1978078.0,41.3166667,69.25,Tashkent,,
1469,2000,,2019,1978078.0,41.3166667,69.25,Tashkent,,
1471,1989,,2018,1978078.0,41.3166667,69.25,Tashkent,,
1473,1969,,1992,1978078.0,41.3166667,69.25,Tashkent,,
1475,2005,,2019,1978078.0,41.3166667,69.25,Tashkent,,
1477,1982,,2008,269961.0,32.815556,34.989167,Haifa,,
1479,1932,,1976,269961.0,32.815556,34.989167,Haifa,,
1481,1969,,1996,269961.0,32.815556,34.989167,Haifa,,
1483,1951,,1984,79410.0,45.383611,20.381944,Zrenjanin,,
1484,1978,,2008,68938.0,22.8361111,-82.0280556,Güines,,
1486,1984,,2007,68938.0,22.8361111,-82.0280556,Güines,,
1488,1981,,1998,,50.075777,12.374676,Eger,,
1491,1991,,2018,1708088.0,47.5,19.083333,Budapest,,
1494,1950,,1973,1708088.0,47.5,19.083333,Budapest,,
1497,1987,,2004,1708088.0,47.5,19.083333,Budapest,,
1500,1932,2010,1962,1708088.0,47.5,19.083333,Budapest,,
1503,1988,,2009,1708088.0,47.5,19.083333,Budapest,,
1506,1975,,2003,1708088.0,47.5,19.083333,Budapest,,
1509,1946,,1976,1708088.0,47.5,19.083333,Budapest,,
1512,1933,1983,1980,1708088.0,47.5,19.083333,Budapest,,
1515,1935,2018,1974,1708088.0,47.5,19.083333,Budapest,,
1518,1986,,2007,1708088.0,47.5,19.083333,Budapest,,
1521,1964,,1990,1708088.0,47.5,19.083333,Budapest,,
1524,1959,,1995,1708088.0,47.5,19.083333,Budapest,,
1527,2002,,2020,1708088.0,47.5,19.083333,Budapest,,
1530,1950,,1986,1708088.0,47.5,19.083333,Budapest,,
1533,1953,,1982,1708088.0,47.5,19.083333,Budapest,,
1536,1976,,1992,1708088.0,47.5,19.083333,Budapest,,
1539,1969,,1991,1708088.0,47.5,19.083333,Budapest,,
1542,1951,2014,1974,1708088.0,47.5,19.083333,Budapest,,
1548,1955,2003,1994,1708088.0,47.5,19.083333,Budapest,,
1551,1971,,1989,,-34.416667,139.116667,Truro,,
1560,1992,,2010,,13.083333,80.283333,Chennai,,
1561,1996,,2020,,13.083333,80.283333,Chennai,,
1562,1969,,1988,,13.083333,80.283333,Chennai,,
1563,2006,,2019,,13.083333,80.283333,Chennai,,
1564,1990,,2019,,13.083333,80.283333,Chennai,,
1565,1983,,2009,,13.083333,80.283333,Chennai,,
1566,1994,,2017,,13.083333,80.283333,Chennai,,
1567,2005,,2018,,13.083333,80.283333,Chennai,,
1568,1976,,2003,,13.083333,80.283333,Chennai,,
1569,1981,,2000,,13.083333,80.283333,Chennai,,
1570,1993,,2011,,13.083333,80.283333,Chennai,,
1571,1982,,2009,,13.083333,80.283333,Chennai,,
1572,1985,,2012,,13.083333,80.283333,Chennai,,
1573,1989,,2013,,13.083333,80.283333,Chennai,,
1574,1965,,1986,8540306.0,-6.174444,106.829444,Jakarta,,
1575,1968,2005,1999,8540306.0,-6.174444,106.829444,Jakarta,,
1576,1999,,2020,8540306.0,-6.174444,106.829444,Jakarta,,
1577,1987,,2005,,7.05,-72.18333299999999,Cairo,,
1602,1966,,2008,,7.05,-72.18333299999999,Cairo,,
1627,1967,,1985,,59.833333,10.433333,Asker,,
1629,1964,,2003,,59.833333,10.433333,Asker,,
1631,1994,,2014,4039751.0,59.89444399999999,30.264167,Saint Petersburg,,
1635,1997,,2015,4039751.0,59.89444399999999,30.264167,Saint Petersburg,,
1639,1990,,2014,4039751.0,59.89444399999999,30.264167,Saint Petersburg,,
