,game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_black_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
0,0012a430-685e-4c50-beb4-8f7fe1277a60,49,25,"Fraser, George",a3,a2a3,a2,a3,P,White,6k1/1R4pp/r1n5/2Bpr3/8/P7/6PP/5RK1,0,0,0,0,0,0,7,7,3,3,0,0,1,0,0,1,2,2,23,23,2,2,1,0,1,0,1,0,5,2,1,0,3,0,5,0,0,0,0,0,2,2,2,1,0,0,0,0,6,8,2,0,"e4,e5"
1,00eb5614-902d-46ea-956d-4e88a6faef81,86,43,Beger,h4,h5h4,h5,h4,P,Black,5r2/5r2/1Bkp4/P2p4/3P3p/2P2pP1/4bK1P/1R6,0,0,0,0,0,0,8,8,5,4,0,0,1,1,0,0,1,2,22,26,1,2,2,1,1,1,0,0,5,1,2,1,1,3,0,0,0,1,1,1,1,2,1,1,0,3,1,1,1,1,5,5,"e4,e5"
2,00ed0480-f924-4e87-b466-c178835aba48,38,19,"Minckwitz, Johannes",Rh1#,h2h1,h2,h1,R,Black,3r2k1/ppp3pp/2p5/8/2NPb1nB/2P5/PP6/RN1Q1RKr,1,1,0,0,1,0,11,11,4,6,1,0,1,1,2,1,2,2,17,7,5,2,1,3,0,0,0,0,22,2,1,7,0,0,0,0,1,0,0,2,0,1,5,2,5,0,0,6,0,1,5,5,"e4,e5"
3,01945f7a-fc39-4fdf-b751-9a5067b6c4e3,35,18,"Morphy, Paul",Bf6+,g5f6,g5,f6,B,White,r6r/ppp3k1/2n2Bp1/3p1b2/3P3Q/8/PPP3PP/RN4K1,1,0,0,0,0,0,11,10,6,5,1,0,1,1,1,1,1,2,18,13,3,5,0,2,0,1,0,0,8,5,0,10,0,3,0,0,0,0,0,0,2,2,4,2,0,0,0,0,4,4,3,10,"e4,e5"
4,02342606-5950-4347-87fb-b9343b4e9b83,33,17,"Zukertort, Johannes",Bxc4,e2c4,e2,c4,B,White,r1bk1b1r/1p1pn1pp/2n1p3/8/2B1P3/P3B3/1PP2PPP/R2Q1RK1,0,0,0,0,0,0,13,12,7,5,1,0,2,2,0,2,2,2,12,7,4,5,2,2,0,0,0,0,19,5,4,4,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,4,7,16,"e4,c5"
5,023ac41b-0f8d-43b1-ba1d-1f4774f2c08c,111,56,"Paulsen, L.",Kf2,g2f2,g2,f2,K,White,8/8/8/3p3p/1p1p2k1/1P1P2P1/5K2/8,0,0,0,0,0,0,4,5,3,4,0,0,0,0,0,0,0,0,35,36,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,2,0,0,0,"e4,e5"
6,02ae3e65-416f-4eeb-aee6-c0091fb29fe8,99,50,"Anderssen, Adolf",Rxc7,h7c7,h7,c7,R,White,kr6/1rR5/2Qp2p1/2P1q3/1P1pP3/P2P4/1NK5/8,0,0,0,0,0,0,9,7,5,3,1,1,0,0,1,0,1,2,17,17,0,2,2,2,1,1,1,0,0,3,2,2,1,9,5,0,0,0,0,1,1,2,1,2,0,0,0,1,9,2,5,5,"e4,e5"
7,02e1f4de-6107-4140-a2f6-e33283a9dc2e,61,31,"De Vere, Cecil V",Rc8+,c7c8,c7,c8,R,White,2R3kr/p4b1p/6p1/8/8/2B5/1P3PPP/6K1,1,0,0,0,0,0,7,6,4,3,0,0,1,1,0,0,1,1,28,27,1,4,1,0,0,0,0,1,0,4,3,0,0,0,0,5,0,0,0,0,0,1,3,2,0,0,0,0,0,1,5,5,"e4,e5"
8,030db5be-9b6e-4dfb-acfb-ba2c945aa4e3,78,39,"Neumann, Gustav",Nh4+,g6h4,g6,h4,N,Black,R7/4r1k1/2P5/7p/4Nbbn/1BPPp3/1P4K1/8,1,0,0,0,0,0,8,7,4,2,0,0,1,2,1,1,1,1,23,24,0,2,3,1,0,1,0,1,0,1,5,3,0,1,0,5,0,0,1,3,1,0,2,0,0,0,1,9,1,0,5,0,"e4,e5"
9,0386c531-b6c3-4676-a525-4f356a340c13,61,31,Grand,Bxe5,f6e5,f6,e5,B,White,1r4rk/p1pR2p1/2p4p/4B3/6P1/8/P1Q2bKP/8,0,0,0,0,0,0,7,9,3,5,1,0,1,1,0,0,1,2,21,19,0,4,0,1,1,0,1,0,0,11,0,1,3,0,5,0,0,1,0,0,0,2,3,3,0,3,0,0,0,2,3,10,"e4,e5"
10,0436c57b-74b5-4a28-9442-4b16784a89a8,133,67,"Cordel, Oskar",Kd4,d3d4,d3,d4,K,White,8/8/8/8/3K3P/5r2/2Q3P1/k7,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,1,34,28,0,2,0,2,0,0,0,0,0,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,"e4,e5"
11,04b0464b-328b-4b01-8d38-567248c5ef7f,51,26,"De Vere, Cecil V",Rh1,f1h1,f1,h1,R,White,5rk1/1r1nqpn1/2p3Q1/p3p1P1/Nb2P3/1B1PB3/1PP1K3/R6R,0,0,0,0,0,0,12,11,5,4,1,1,2,1,1,2,2,2,7,6,2,3,3,2,1,1,0,0,10,2,7,4,1,9,0,0,0,0,0,1,2,1,5,2,0,0,0,3,2,1,21,5,"e4,e5"
12,04d8c2a1-0559-4c12-a405-cbd4048453c7,66,33,"Anderssen, Adolf",Rg4,g3g4,g3,g4,R,Black,6k1/6p1/2R5/7p/p5rP/P1p5/8/1K6,0,0,0,0,0,0,4,6,2,4,0,0,0,0,0,0,1,1,30,32,1,0,1,1,0,1,0,0,0,0,1,1,0,5,0,0,0,0,1,2,1,0,1,1,0,0,1,6,1,0,1,0,"e4,e5"
13,05008637-1cee-4787-afd0-c905cbd1fb93,38,19,"Neumann, Gustav",Bxh3,c8h3,c8,h3,B,Black,r3kb1Q/pp5p/5Bp1/2p5/2P1n3/1P2qB1b/P2p2PP/RN3K1R,0,0,0,0,0,0,12,12,5,6,1,1,2,2,1,1,2,1,10,6,4,3,2,1,0,1,0,1,13,3,4,1,0,3,0,9,0,1,2,1,1,1,3,3,0,1,12,3,1,1,3,8,"e4,e5"
14,0511cf64-3809-4f0e-a461-651cfcf42299,33,17,"Schlemm, Heinrich",a3#,a2a3,a2,a3,P,White,rnbB1b1r/pp3Bpp/2Rp4/4N3/1k6/P1N5/1P3PPP/n5K1,1,1,0,0,1,0,11,12,5,5,0,0,2,2,2,2,1,2,12,17,1,4,2,0,1,1,1,1,0,4,4,0,3,5,3,3,1,0,0,1,0,1,4,5,3,0,0,0,0,1,4,19,"e4,e5"
15,05247257-6acf-47b7-b28e-742202a07c8d,134,67,"Steinitz, Wilhelm",bxa5,b6a5,b6,a5,P,Black,8/1R6/2K2k2/p1p5/8/3r4/8/8,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,1,1,32,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,0,2,1,0,0,0,0,5,0,2,0,0,0,"d4,f5"
16,0565b360-8e9a-4d2e-a5e0-ab324346f4ef,78,39,"Harding, H.",Bxf5,e6f5,e6,f5,B,Black,6k1/5pp1/p7/1p3b2/3B4/2P5/1P3KP1/8,0,0,0,0,0,0,5,6,3,4,0,0,1,1,0,0,0,0,32,33,0,3,1,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,4,1,2,0,"e4,e5"
17,059c05f1-c128-42cc-8f42-299fc39cc2a0,55,28,"Schliemann, Adolph",Nxc4,d6c4,d6,c4,N,White,3r2k1/5ppp/ppp1p3/3nn3/2N5/5Q2/PP3PPP/3RR1K1,0,0,0,0,0,0,10,11,5,7,1,0,0,0,1,2,2,1,21,12,3,5,1,1,0,0,0,0,10,5,9,3,0,0,0,0,0,0,0,0,2,4,3,2,0,0,0,0,6,4,3,5,"e4,d5"
18,0600fbc2-9ad3-4a98-a879-7380501bc267,78,39,"Harding, H.",Bxf5,e6f5,e6,f5,B,Black,6k1/5pp1/p7/1p3b2/3B4/2P5/1P3KP1/8,0,0,0,0,0,0,5,6,3,4,0,0,1,1,0,0,0,0,32,33,0,3,1,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,4,1,2,0,"e4,e5"
19,06f5857c-4539-4ff0-b65a-15572d1da9a0,64,32,"Anderssen, Adolf",Qd4,a7d4,a7,d4,Q,Black,8/2p3pk/7p/3pPp2/3qrP2/6Q1/PR4PP/7K,0,0,0,0,0,0,8,8,5,5,1,1,0,0,0,0,1,1,20,20,1,4,1,1,1,0,0,0,0,8,9,1,1,0,0,0,0,0,0,2,2,1,3,0,0,0,0,14,2,1,2,0,"e4,e5"
20,075a073b-b38b-4ced-8b48-4559e8cb2262,41,21,"Zukertort, Johannes",Qe7,g5e7,g5,e7,Q,White,rnk3r1/pp2Q2p/3B2b1/1B1P4/3P2p1/2N3Pq/PPP5/4R1K1,0,0,0,0,0,0,12,10,6,4,1,1,2,1,1,1,1,2,10,10,2,3,2,1,2,1,1,0,5,3,4,1,4,3,9,0,0,0,1,1,0,1,3,4,0,0,9,1,0,3,3,13,"e4,e5"
21,07a22c17-62ed-407c-8d8b-30ae7b77d110,38,19,"De Vere, Cecil V",Bxd4,b6d4,b6,d4,B,Black,r2N2k1/p1p4p/5p2/3b4/3bp3/8/PP3PPP/R4RK1,0,0,0,0,0,0,9,9,5,5,0,0,0,2,1,0,2,1,23,21,3,5,0,0,0,0,0,1,10,5,0,0,0,0,0,3,0,0,0,2,1,1,3,2,0,0,0,4,3,1,3,5,"e4,e5"
